,job_id,job_basename,job_directory,job_status,program,coords_from,xyz_filename
0,-1,crest_gfn2__gfnff_squick,/gpfs/research/alabuginlab/gage/michael/crude/_0_1_nome2/crest_gfn2__gfnff_squick,not_started,CREST,,
1,-1,xtb_gfn2_opt_freq,/gpfs/research/alabuginlab/gage/michael/crude/_0_1_nome2/xtb_gfn2_opt_freq,not_started,XTB,../crest_gfn2__gfnff_squick,crest_best.xyz
2,-1,crest_gfn2__gfnff_squick,/gpfs/research/alabuginlab/gage/michael/crude/_0_1_tbucore/crest_gfn2__gfnff_squick,not_started,CREST,,
3,-1,xtb_gfn2_opt_freq,/gpfs/research/alabuginlab/gage/michael/crude/_0_1_tbucore/xtb_gfn2_opt_freq,not_started,XTB,../crest_gfn2__gfnff_squick,crest_best.xyz
4,-1,crest_gfn2__gfnff_squick,/gpfs/research/alabuginlab/gage/michael/crude/_0_1_noby/crest_gfn2__gfnff_squick,not_started,CREST,,
5,-1,xtb_gfn2_opt_freq,/gpfs/research/alabuginlab/gage/michael/crude/_0_1_noby/xtb_gfn2_opt_freq,not_started,XTB,../crest_gfn2__gfnff_squick,crest_best.xyz
6,-1,crest_gfn2__gfnff_squick,/gpfs/research/alabuginlab/gage/michael/crude/_0_1_nomph/crest_gfn2__gfnff_squick,not_started,CREST,,
7,-1,xtb_gfn2_opt_freq,/gpfs/research/alabuginlab/gage/michael/crude/_0_1_nomph/xtb_gfn2_opt_freq,not_started,XTB,../crest_gfn2__gfnff_squick,crest_best.xyz
8,-1,crest_gfn2__gfnff_squick,/gpfs/research/alabuginlab/gage/michael/crude/_0_1_nome/crest_gfn2__gfnff_squick,not_started,CREST,,
9,-1,xtb_gfn2_opt_freq,/gpfs/research/alabuginlab/gage/michael/crude/_0_1_nome/xtb_gfn2_opt_freq,not_started,XTB,../crest_gfn2__gfnff_squick,crest_best.xyz
10,-1,crest_gfn2__gfnff_squick,/gpfs/research/alabuginlab/gage/michael/crude/_0_1_npome/crest_gfn2__gfnff_squick,not_started,CREST,,
11,-1,xtb_gfn2_opt_freq,/gpfs/research/alabuginlab/gage/michael/crude/_0_1_npome/xtb_gfn2_opt_freq,not_started,XTB,../crest_gfn2__gfnff_squick,crest_best.xyz
12,-1,crest_gfn2__gfnff_squick,/gpfs/research/alabuginlab/gage/michael/crude/_0_1_big_core/crest_gfn2__gfnff_squick,not_started,CREST,,
13,-1,xtb_gfn2_opt_freq,/gpfs/research/alabuginlab/gage/michael/crude/_0_1_big_core/xtb_gfn2_opt_freq,not_started,XTB,../crest_gfn2__gfnff_squick,crest_best.xyz
14,-1,crest_gfn2__gfnff_squick,/gpfs/research/alabuginlab/gage/michael/crude/_0_1_cby/crest_gfn2__gfnff_squick,not_started,CREST,,
15,-1,xtb_gfn2_opt_freq,/gpfs/research/alabuginlab/gage/michael/crude/_0_1_cby/xtb_gfn2_opt_freq,not_started,XTB,../crest_gfn2__gfnff_squick,crest_best.xyz
16,-1,crest_gfn2__gfnff_squick,/gpfs/research/alabuginlab/gage/michael/crude/_0_1_ncmy/crest_gfn2__gfnff_squick,not_started,CREST,,
17,-1,xtb_gfn2_opt_freq,/gpfs/research/alabuginlab/gage/michael/crude/_0_1_ncmy/xtb_gfn2_opt_freq,not_started,XTB,../crest_gfn2__gfnff_squick,crest_best.xyz
18,-1,crest_gfn2__gfnff_squick,/gpfs/research/alabuginlab/gage/michael/crude/_0_1_cmy/crest_gfn2__gfnff_squick,not_started,CREST,,
19,-1,xtb_gfn2_opt_freq,/gpfs/research/alabuginlab/gage/michael/crude/_0_1_cmy/xtb_gfn2_opt_freq,not_started,XTB,../crest_gfn2__gfnff_squick,crest_best.xyz
20,-1,crest_gfn2__gfnff_squick,/gpfs/research/alabuginlab/gage/michael/crude/_0_1_nomy2/crest_gfn2__gfnff_squick,not_started,CREST,,
21,-1,xtb_gfn2_opt_freq,/gpfs/research/alabuginlab/gage/michael/crude/_0_1_nomy2/xtb_gfn2_opt_freq,not_started,XTB,../crest_gfn2__gfnff_squick,crest_best.xyz
22,-1,crest_gfn2__gfnff_squick,/gpfs/research/alabuginlab/gage/michael/crude/_0_1_ome/crest_gfn2__gfnff_squick,not_started,CREST,,
23,-1,xtb_gfn2_opt_freq,/gpfs/research/alabuginlab/gage/michael/crude/_0_1_ome/xtb_gfn2_opt_freq,not_started,XTB,../crest_gfn2__gfnff_squick,crest_best.xyz
24,-1,crest_gfn2__gfnff_squick,/gpfs/research/alabuginlab/gage/michael/crude/_0_1_oby/crest_gfn2__gfnff_squick,not_started,CREST,,
25,-1,xtb_gfn2_opt_freq,/gpfs/research/alabuginlab/gage/michael/crude/_0_1_oby/xtb_gfn2_opt_freq,not_started,XTB,../crest_gfn2__gfnff_squick,crest_best.xyz
26,-1,crest_gfn2__gfnff_squick,/gpfs/research/alabuginlab/gage/michael/crude/_0_1_nody2/crest_gfn2__gfnff_squick,not_started,CREST,,
27,-1,xtb_gfn2_opt_freq,/gpfs/research/alabuginlab/gage/michael/crude/_0_1_nody2/xtb_gfn2_opt_freq,not_started,XTB,../crest_gfn2__gfnff_squick,crest_best.xyz
28,-1,crest_gfn2__gfnff_squick,/gpfs/research/alabuginlab/gage/michael/crude/_0_1_nomy/crest_gfn2__gfnff_squick,not_started,CREST,,
29,-1,xtb_gfn2_opt_freq,/gpfs/research/alabuginlab/gage/michael/crude/_0_1_nomy/xtb_gfn2_opt_freq,not_started,XTB,../crest_gfn2__gfnff_squick,crest_best.xyz
30,-1,crest_gfn2__gfnff_squick,/gpfs/research/alabuginlab/gage/michael/crude/_0_1_omy/crest_gfn2__gfnff_squick,not_started,CREST,,
31,-1,xtb_gfn2_opt_freq,/gpfs/research/alabuginlab/gage/michael/crude/_0_1_omy/xtb_gfn2_opt_freq,not_started,XTB,../crest_gfn2__gfnff_squick,crest_best.xyz
32,-1,crest_gfn2__gfnff_squick,/gpfs/research/alabuginlab/gage/michael/crude/_0_3_nome2/crest_gfn2__gfnff_squick,not_started,CREST,,
33,-1,xtb_gfn2_opt_freq,/gpfs/research/alabuginlab/gage/michael/crude/_0_3_nome2/xtb_gfn2_opt_freq,not_started,XTB,../crest_gfn2__gfnff_squick,crest_best.xyz
34,-1,crest_gfn2__gfnff_squick,/gpfs/research/alabuginlab/gage/michael/crude/_0_3_tbucore/crest_gfn2__gfnff_squick,not_started,CREST,,
35,-1,xtb_gfn2_opt_freq,/gpfs/research/alabuginlab/gage/michael/crude/_0_3_tbucore/xtb_gfn2_opt_freq,not_started,XTB,../crest_gfn2__gfnff_squick,crest_best.xyz
36,-1,crest_gfn2__gfnff_squick,/gpfs/research/alabuginlab/gage/michael/crude/_0_3_noby/crest_gfn2__gfnff_squick,not_started,CREST,,
37,-1,xtb_gfn2_opt_freq,/gpfs/research/alabuginlab/gage/michael/crude/_0_3_noby/xtb_gfn2_opt_freq,not_started,XTB,../crest_gfn2__gfnff_squick,crest_best.xyz
38,-1,crest_gfn2__gfnff_squick,/gpfs/research/alabuginlab/gage/michael/crude/_0_3_nomph/crest_gfn2__gfnff_squick,not_started,CREST,,
39,-1,xtb_gfn2_opt_freq,/gpfs/research/alabuginlab/gage/michael/crude/_0_3_nomph/xtb_gfn2_opt_freq,not_started,XTB,../crest_gfn2__gfnff_squick,crest_best.xyz
40,-1,crest_gfn2__gfnff_squick,/gpfs/research/alabuginlab/gage/michael/crude/_0_3_nome/crest_gfn2__gfnff_squick,not_started,CREST,,
41,-1,xtb_gfn2_opt_freq,/gpfs/research/alabuginlab/gage/michael/crude/_0_3_nome/xtb_gfn2_opt_freq,not_started,XTB,../crest_gfn2__gfnff_squick,crest_best.xyz
42,-1,crest_gfn2__gfnff_squick,/gpfs/research/alabuginlab/gage/michael/crude/_0_3_npome/crest_gfn2__gfnff_squick,not_started,CREST,,
43,-1,xtb_gfn2_opt_freq,/gpfs/research/alabuginlab/gage/michael/crude/_0_3_npome/xtb_gfn2_opt_freq,not_started,XTB,../crest_gfn2__gfnff_squick,crest_best.xyz
44,-1,crest_gfn2__gfnff_squick,/gpfs/research/alabuginlab/gage/michael/crude/_0_3_big_core/crest_gfn2__gfnff_squick,not_started,CREST,,
45,-1,xtb_gfn2_opt_freq,/gpfs/research/alabuginlab/gage/michael/crude/_0_3_big_core/xtb_gfn2_opt_freq,not_started,XTB,../crest_gfn2__gfnff_squick,crest_best.xyz
46,-1,crest_gfn2__gfnff_squick,/gpfs/research/alabuginlab/gage/michael/crude/_0_3_cby/crest_gfn2__gfnff_squick,not_started,CREST,,
47,-1,xtb_gfn2_opt_freq,/gpfs/research/alabuginlab/gage/michael/crude/_0_3_cby/xtb_gfn2_opt_freq,not_started,XTB,../crest_gfn2__gfnff_squick,crest_best.xyz
48,-1,crest_gfn2__gfnff_squick,/gpfs/research/alabuginlab/gage/michael/crude/_0_3_ncmy/crest_gfn2__gfnff_squick,not_started,CREST,,
49,-1,xtb_gfn2_opt_freq,/gpfs/research/alabuginlab/gage/michael/crude/_0_3_ncmy/xtb_gfn2_opt_freq,not_started,XTB,../crest_gfn2__gfnff_squick,crest_best.xyz
50,-1,crest_gfn2__gfnff_squick,/gpfs/research/alabuginlab/gage/michael/crude/_0_3_cmy/crest_gfn2__gfnff_squick,not_started,CREST,,
51,-1,xtb_gfn2_opt_freq,/gpfs/research/alabuginlab/gage/michael/crude/_0_3_cmy/xtb_gfn2_opt_freq,not_started,XTB,../crest_gfn2__gfnff_squick,crest_best.xyz
52,-1,crest_gfn2__gfnff_squick,/gpfs/research/alabuginlab/gage/michael/crude/_0_3_nomy2/crest_gfn2__gfnff_squick,not_started,CREST,,
53,-1,xtb_gfn2_opt_freq,/gpfs/research/alabuginlab/gage/michael/crude/_0_3_nomy2/xtb_gfn2_opt_freq,not_started,XTB,../crest_gfn2__gfnff_squick,crest_best.xyz
54,-1,crest_gfn2__gfnff_squick,/gpfs/research/alabuginlab/gage/michael/crude/_0_3_ome/crest_gfn2__gfnff_squick,not_started,CREST,,
55,-1,xtb_gfn2_opt_freq,/gpfs/research/alabuginlab/gage/michael/crude/_0_3_ome/xtb_gfn2_opt_freq,not_started,XTB,../crest_gfn2__gfnff_squick,crest_best.xyz
56,-1,crest_gfn2__gfnff_squick,/gpfs/research/alabuginlab/gage/michael/crude/_0_3_oby/crest_gfn2__gfnff_squick,not_started,CREST,,
57,-1,xtb_gfn2_opt_freq,/gpfs/research/alabuginlab/gage/michael/crude/_0_3_oby/xtb_gfn2_opt_freq,not_started,XTB,../crest_gfn2__gfnff_squick,crest_best.xyz
58,-1,crest_gfn2__gfnff_squick,/gpfs/research/alabuginlab/gage/michael/crude/_0_3_nody2/crest_gfn2__gfnff_squick,not_started,CREST,,
59,-1,xtb_gfn2_opt_freq,/gpfs/research/alabuginlab/gage/michael/crude/_0_3_nody2/xtb_gfn2_opt_freq,not_started,XTB,../crest_gfn2__gfnff_squick,crest_best.xyz
60,-1,crest_gfn2__gfnff_squick,/gpfs/research/alabuginlab/gage/michael/crude/_0_3_nomy/crest_gfn2__gfnff_squick,not_started,CREST,,
61,-1,xtb_gfn2_opt_freq,/gpfs/research/alabuginlab/gage/michael/crude/_0_3_nomy/xtb_gfn2_opt_freq,not_started,XTB,../crest_gfn2__gfnff_squick,crest_best.xyz
62,-1,crest_gfn2__gfnff_squick,/gpfs/research/alabuginlab/gage/michael/crude/_0_3_omy/crest_gfn2__gfnff_squick,not_started,CREST,,
63,-1,xtb_gfn2_opt_freq,/gpfs/research/alabuginlab/gage/michael/crude/_0_3_omy/xtb_gfn2_opt_freq,not_started,XTB,../crest_gfn2__gfnff_squick,crest_best.xyz
64,-1,r2scan_3c_sp,/gpfs/research/alabuginlab/gage/michael/crude/_0_1_nome2/r2scan_3c_sp,not_started,ORCA,../xtb_gfn2_opt_freq,xtbopt.xyz
65,-1,r2scan_3c_sp,/gpfs/research/alabuginlab/gage/michael/crude/_0_1_tbucore/r2scan_3c_sp,not_started,ORCA,../xtb_gfn2_opt_freq,xtbopt.xyz
66,-1,r2scan_3c_sp,/gpfs/research/alabuginlab/gage/michael/crude/_0_1_noby/r2scan_3c_sp,not_started,ORCA,../xtb_gfn2_opt_freq,xtbopt.xyz
67,-1,r2scan_3c_sp,/gpfs/research/alabuginlab/gage/michael/crude/_0_1_nomph/r2scan_3c_sp,not_started,ORCA,../xtb_gfn2_opt_freq,xtbopt.xyz
68,-1,r2scan_3c_sp,/gpfs/research/alabuginlab/gage/michael/crude/_0_1_nome/r2scan_3c_sp,not_started,ORCA,../xtb_gfn2_opt_freq,xtbopt.xyz
69,-1,r2scan_3c_sp,/gpfs/research/alabuginlab/gage/michael/crude/_0_1_npome/r2scan_3c_sp,not_started,ORCA,../xtb_gfn2_opt_freq,xtbopt.xyz
70,-1,r2scan_3c_sp,/gpfs/research/alabuginlab/gage/michael/crude/_0_1_big_core/r2scan_3c_sp,not_started,ORCA,../xtb_gfn2_opt_freq,xtbopt.xyz
71,-1,r2scan_3c_sp,/gpfs/research/alabuginlab/gage/michael/crude/_0_1_cby/r2scan_3c_sp,not_started,ORCA,../xtb_gfn2_opt_freq,xtbopt.xyz
72,-1,r2scan_3c_sp,/gpfs/research/alabuginlab/gage/michael/crude/_0_1_ncmy/r2scan_3c_sp,not_started,ORCA,../xtb_gfn2_opt_freq,xtbopt.xyz
73,-1,r2scan_3c_sp,/gpfs/research/alabuginlab/gage/michael/crude/_0_1_cmy/r2scan_3c_sp,not_started,ORCA,../xtb_gfn2_opt_freq,xtbopt.xyz
74,-1,r2scan_3c_sp,/gpfs/research/alabuginlab/gage/michael/crude/_0_1_nomy2/r2scan_3c_sp,not_started,ORCA,../xtb_gfn2_opt_freq,xtbopt.xyz
75,-1,r2scan_3c_sp,/gpfs/research/alabuginlab/gage/michael/crude/_0_1_ome/r2scan_3c_sp,not_started,ORCA,../xtb_gfn2_opt_freq,xtbopt.xyz
76,-1,r2scan_3c_sp,/gpfs/research/alabuginlab/gage/michael/crude/_0_1_oby/r2scan_3c_sp,not_started,ORCA,../xtb_gfn2_opt_freq,xtbopt.xyz
77,-1,r2scan_3c_sp,/gpfs/research/alabuginlab/gage/michael/crude/_0_1_nody2/r2scan_3c_sp,not_started,ORCA,../xtb_gfn2_opt_freq,xtbopt.xyz
78,-1,r2scan_3c_sp,/gpfs/research/alabuginlab/gage/michael/crude/_0_1_nomy/r2scan_3c_sp,not_started,ORCA,../xtb_gfn2_opt_freq,xtbopt.xyz
79,-1,r2scan_3c_sp,/gpfs/research/alabuginlab/gage/michael/crude/_0_1_omy/r2scan_3c_sp,not_started,ORCA,../xtb_gfn2_opt_freq,xtbopt.xyz
80,-1,r2scan_3c_sp,/gpfs/research/alabuginlab/gage/michael/crude/_0_3_nome2/r2scan_3c_sp,not_started,ORCA,../xtb_gfn2_opt_freq,xtbopt.xyz
81,-1,r2scan_3c_sp,/gpfs/research/alabuginlab/gage/michael/crude/_0_3_tbucore/r2scan_3c_sp,not_started,ORCA,../xtb_gfn2_opt_freq,xtbopt.xyz
82,-1,r2scan_3c_sp,/gpfs/research/alabuginlab/gage/michael/crude/_0_3_noby/r2scan_3c_sp,not_started,ORCA,../xtb_gfn2_opt_freq,xtbopt.xyz
83,-1,r2scan_3c_sp,/gpfs/research/alabuginlab/gage/michael/crude/_0_3_nomph/r2scan_3c_sp,not_started,ORCA,../xtb_gfn2_opt_freq,xtbopt.xyz
