job_id|job_basename|job_directory|job_status|program|coords_from|xyz_filename
10008562|h2o2_gas_crest|/gpfs/home/gdb20/code/batch-manager/temp/|succeeded|CREST||
10008579|h2o2_gas_gau_b3lyp_6-311+Gdp|/gpfs/home/gdb20/code/batch-manager/temp/|succeeded|Gaussian|h2o2_gas_crest|crest_best.xyz
10008580|h2o2_gas_gau_b3lyp_6-311++Gdp|/gpfs/home/gdb20/code/batch-manager/temp/|succeeded|Gaussian|h2o2_gas_crest|crest_best.xyz
10008581|h2o2_gas_gau_b3lyp_6-31+Gdp|/gpfs/home/gdb20/code/batch-manager/temp/|succeeded|Gaussian|h2o2_gas_crest|crest_best.xyz
10008582|h2o2_gas_gau_b3lyp_6-31++Gdp|/gpfs/home/gdb20/code/batch-manager/temp/|succeeded|Gaussian|h2o2_gas_crest|crest_best.xyz
10008583|h2o2_gas_gau_m06-2x_6-311+Gdp|/gpfs/home/gdb20/code/batch-manager/temp/|succeeded|Gaussian|h2o2_gas_crest|crest_best.xyz
10008584|h2o2_gas_gau_m06-2x_6-311++Gdp|/gpfs/home/gdb20/code/batch-manager/temp/|succeeded|Gaussian|h2o2_gas_crest|crest_best.xyz
10008585|h2o2_gas_gau_m06-2x_6-31+Gdp|/gpfs/home/gdb20/code/batch-manager/temp/|succeeded|Gaussian|h2o2_gas_crest|crest_best.xyz
10008586|h2o2_gas_gau_m06-2x_6-31++Gdp|/gpfs/home/gdb20/code/batch-manager/temp/|succeeded|Gaussian|h2o2_gas_crest|crest_best.xyz
10008587|h2o2_gas_gau_m08-hx_6-311+Gdp|/gpfs/home/gdb20/code/batch-manager/temp/|succeeded|Gaussian|h2o2_gas_crest|crest_best.xyz
10008588|h2o2_gas_gau_m08-hx_6-311++Gdp|/gpfs/home/gdb20/code/batch-manager/temp/|succeeded|Gaussian|h2o2_gas_crest|crest_best.xyz
10008589|h2o2_gas_gau_m08-hx_6-31+Gdp|/gpfs/home/gdb20/code/batch-manager/temp/|succeeded|Gaussian|h2o2_gas_crest|crest_best.xyz
10008590|h2o2_gas_gau_m08-hx_6-31++Gdp|/gpfs/home/gdb20/code/batch-manager/temp/|succeeded|Gaussian|h2o2_gas_crest|crest_best.xyz
10008591|h2o2_gas_gau_pbeo_6-311+Gdp|/gpfs/home/gdb20/code/batch-manager/temp/|succeeded|Gaussian|h2o2_gas_crest|crest_best.xyz
10008592|h2o2_gas_gau_pbeo_6-311++Gdp|/gpfs/home/gdb20/code/batch-manager/temp/|succeeded|Gaussian|h2o2_gas_crest|crest_best.xyz
10008593|h2o2_gas_gau_pbeo_6-31+Gdp|/gpfs/home/gdb20/code/batch-manager/temp/|succeeded|Gaussian|h2o2_gas_crest|crest_best.xyz
10008594|h2o2_gas_gau_pbeo_6-31++Gdp|/gpfs/home/gdb20/code/batch-manager/temp/|succeeded|Gaussian|h2o2_gas_crest|crest_best.xyz
10008563|h2o2_water_crest|/gpfs/home/gdb20/code/batch-manager/temp/|succeeded|CREST||
10008595|h2o2_water_gau_b3lyp_6-311+Gdp|/gpfs/home/gdb20/code/batch-manager/temp/|failed|Gaussian|h2o2_water_crest|crest_best.xyz
10008596|h2o2_water_gau_b3lyp_6-311++Gdp|/gpfs/home/gdb20/code/batch-manager/temp/|failed|Gaussian|h2o2_water_crest|crest_best.xyz
