root_directory=/gpfs/home/gdb20/code/batch-manager/temp/
job_basename|job_directory|program|pipe
h2o2_gas_crest||CREST|
h2o2_gas_gau_b3lyp_6-311+Gdp||Gaussian|coords{h2o2_gas_crest,crest_best.xyz}
h2o2_gas_gau_b3lyp_6-311++Gdp||Gaussian|coords{h2o2_gas_crest,crest_best.xyz}
h2o2_gas_gau_b3lyp_6-31+Gdp||Gaussian|coords{h2o2_gas_crest,crest_best.xyz}
h2o2_gas_gau_b3lyp_6-31++Gdp||Gaussian|coords{h2o2_gas_crest,crest_best.xyz}
h2o2_gas_gau_m06-2x_6-311+Gdp||Gaussian|coords{h2o2_gas_crest,crest_best.xyz}
h2o2_gas_gau_m06-2x_6-311++Gdp||Gaussian|coords{h2o2_gas_crest,crest_best.xyz}
h2o2_gas_gau_m06-2x_6-31+Gdp||Gaussian|coords{h2o2_gas_crest,crest_best.xyz}
h2o2_gas_gau_m06-2x_6-31++Gdp||Gaussian|coords{h2o2_gas_crest,crest_best.xyz}
h2o2_gas_gau_m08-hx_6-311+Gdp||Gaussian|coords{h2o2_gas_crest,crest_best.xyz}
h2o2_gas_gau_m08-hx_6-311++Gdp||Gaussian|coords{h2o2_gas_crest,crest_best.xyz}
h2o2_gas_gau_m08-hx_6-31+Gdp||Gaussian|coords{h2o2_gas_crest,crest_best.xyz}
h2o2_gas_gau_m08-hx_6-31++Gdp||Gaussian|coords{h2o2_gas_crest,crest_best.xyz}
h2o2_gas_gau_pbeo_6-311+Gdp||Gaussian|coords{h2o2_gas_crest,crest_best.xyz}
h2o2_gas_gau_pbeo_6-311++Gdp||Gaussian|coords{h2o2_gas_crest,crest_best.xyz}
h2o2_gas_gau_pbeo_6-31+Gdp||Gaussian|coords{h2o2_gas_crest,crest_best.xyz}
h2o2_gas_gau_pbeo_6-31++Gdp||Gaussian|coords{h2o2_gas_crest,crest_best.xyz}
h2o2_water_crest||CREST|
h2o2_water_gau_b3lyp_6-311+Gdp||Gaussian|coords{h2o2_water_crest,crest_best.xyz}
h2o2_water_gau_b3lyp_6-311++Gdp||Gaussian|coords{h2o2_water_crest,crest_best.xyz}
h2o2_water_gau_b3lyp_6-31+Gdp||Gaussian|coords{h2o2_water_crest,crest_best.xyz}
h2o2_water_gau_b3lyp_6-31++Gdp||Gaussian|coords{h2o2_water_crest,crest_best.xyz}
h2o2_water_gau_m06-2x_6-311+Gdp||Gaussian|coords{h2o2_water_crest,crest_best.xyz}
h2o2_water_gau_m06-2x_6-311++Gdp||Gaussian|coords{h2o2_water_crest,crest_best.xyz}
h2o2_water_gau_m06-2x_6-31+Gdp||Gaussian|coords{h2o2_water_crest,crest_best.xyz}
h2o2_water_gau_m06-2x_6-31++Gdp||Gaussian|coords{h2o2_water_crest,crest_best.xyz}
h2o2_water_gau_m08-hx_6-311+Gdp||Gaussian|coords{h2o2_water_crest,crest_best.xyz}
h2o2_water_gau_m08-hx_6-311++Gdp||Gaussian|coords{h2o2_water_crest,crest_best.xyz}
h2o2_water_gau_m08-hx_6-31+Gdp||Gaussian|coords{h2o2_water_crest,crest_best.xyz}
h2o2_water_gau_m08-hx_6-31++Gdp||Gaussian|coords{h2o2_water_crest,crest_best.xyz}
h2o2_water_gau_pbeo_6-311+Gdp||Gaussian|coords{h2o2_water_crest,crest_best.xyz}
h2o2_water_gau_pbeo_6-311++Gdp||Gaussian|coords{h2o2_water_crest,crest_best.xyz}
h2o2_water_gau_pbeo_6-31+Gdp||Gaussian|coords{h2o2_water_crest,crest_best.xyz}
h2o2_water_gau_pbeo_6-31++Gdp||Gaussian|coords{h2o2_water_crest,crest_best.xyz}
oh-radical_gas_crest||CREST|
oh-radical_gas_gau_b3lyp_6-311+Gdp||Gaussian|coords{oh-radical_gas_crest,crest_best.xyz}
oh-radical_gas_gau_b3lyp_6-311++Gdp||Gaussian|coords{oh-radical_gas_crest,crest_best.xyz}
oh-radical_gas_gau_b3lyp_6-31+Gdp||Gaussian|coords{oh-radical_gas_crest,crest_best.xyz}
oh-radical_gas_gau_b3lyp_6-31++Gdp||Gaussian|coords{oh-radical_gas_crest,crest_best.xyz}
oh-radical_gas_gau_m06-2x_6-311+Gdp||Gaussian|coords{oh-radical_gas_crest,crest_best.xyz}
oh-radical_gas_gau_m06-2x_6-311++Gdp||Gaussian|coords{oh-radical_gas_crest,crest_best.xyz}
oh-radical_gas_gau_m06-2x_6-31+Gdp||Gaussian|coords{oh-radical_gas_crest,crest_best.xyz}
oh-radical_gas_gau_m06-2x_6-31++Gdp||Gaussian|coords{oh-radical_gas_crest,crest_best.xyz}
oh-radical_gas_gau_m08-hx_6-311+Gdp||Gaussian|coords{oh-radical_gas_crest,crest_best.xyz}
oh-radical_gas_gau_m08-hx_6-311++Gdp||Gaussian|coords{oh-radical_gas_crest,crest_best.xyz}
oh-radical_gas_gau_m08-hx_6-31+Gdp||Gaussian|coords{oh-radical_gas_crest,crest_best.xyz}
oh-radical_gas_gau_m08-hx_6-31++Gdp||Gaussian|coords{oh-radical_gas_crest,crest_best.xyz}
oh-radical_gas_gau_pbeo_6-311+Gdp||Gaussian|coords{oh-radical_gas_crest,crest_best.xyz}
oh-radical_gas_gau_pbeo_6-311++Gdp||Gaussian|coords{oh-radical_gas_crest,crest_best.xyz}
oh-radical_gas_gau_pbeo_6-31+Gdp||Gaussian|coords{oh-radical_gas_crest,crest_best.xyz}
oh-radical_gas_gau_pbeo_6-31++Gdp||Gaussian|coords{oh-radical_gas_crest,crest_best.xyz}
oh-radical_water_crest||CREST|
oh-radical_water_gau_b3lyp_6-311+Gdp||Gaussian|coords{oh-radical_water_crest,crest_best.xyz}
oh-radical_water_gau_b3lyp_6-311++Gdp||Gaussian|coords{oh-radical_water_crest,crest_best.xyz}
oh-radical_water_gau_b3lyp_6-31+Gdp||Gaussian|coords{oh-radical_water_crest,crest_best.xyz}
oh-radical_water_gau_b3lyp_6-31++Gdp||Gaussian|coords{oh-radical_water_crest,crest_best.xyz}
oh-radical_water_gau_m06-2x_6-311+Gdp||Gaussian|coords{oh-radical_water_crest,crest_best.xyz}
oh-radical_water_gau_m06-2x_6-311++Gdp||Gaussian|coords{oh-radical_water_crest,crest_best.xyz}
oh-radical_water_gau_m06-2x_6-31+Gdp||Gaussian|coords{oh-radical_water_crest,crest_best.xyz}
oh-radical_water_gau_m06-2x_6-31++Gdp||Gaussian|coords{oh-radical_water_crest,crest_best.xyz}
oh-radical_water_gau_m08-hx_6-311+Gdp||Gaussian|coords{oh-radical_water_crest,crest_best.xyz}
oh-radical_water_gau_m08-hx_6-311++Gdp||Gaussian|coords{oh-radical_water_crest,crest_best.xyz}
oh-radical_water_gau_m08-hx_6-31+Gdp||Gaussian|coords{oh-radical_water_crest,crest_best.xyz}
oh-radical_water_gau_m08-hx_6-31++Gdp||Gaussian|coords{oh-radical_water_crest,crest_best.xyz}
oh-radical_water_gau_pbeo_6-311+Gdp||Gaussian|coords{oh-radical_water_crest,crest_best.xyz}
oh-radical_water_gau_pbeo_6-311++Gdp||Gaussian|coords{oh-radical_water_crest,crest_best.xyz}
oh-radical_water_gau_pbeo_6-31+Gdp||Gaussian|coords{oh-radical_water_crest,crest_best.xyz}
oh-radical_water_gau_pbeo_6-31++Gdp||Gaussian|coords{oh-radical_water_crest,crest_best.xyz}
